name|sid|call|icon|city|state|tagline
KUWC-FM|261|KUWC|http://media.npr.org/images/stations/logos/kuwc_fm.gif|Casper|WY|Wyoming Public Radio
KUWD-FM|262|KUWD|http://media.npr.org/images/stations/logos/kuwd_fm.gif|Sundance|WY|Wyoming Public Radio
KUWG-FM|263|KUWG|http://media.npr.org/images/stations/logos/kuwg_fm.gif|Gillette|WY|Wyoming Public Radio
KUWJ-FM|264|KUWJ|http://media.npr.org/images/stations/logos/kuwj_fm.gif|Jackson|WY|Wyoming Public Radio
KUWN-FM|265|KUWN|http://media.npr.org/images/stations/logos/kuwn_fm.gif|Newcastle|WY|Wyoming Public Radio
KUWP-FM|266|KUWP|http://media.npr.org/images/stations/logos/kuwp_fm.gif|Powell|WY|Wyoming Public Radio
KUWT-FM|267|KUWT|http://media.npr.org/images/stations/logos/kuwt_fm.gif|Thermopolis|WY|Wyoming Public Radio
KUWX-FM|268|KUWX|http://media.npr.org/images/stations/logos/kuwx_fm.gif|Pinedale|WY|Wyoming Public Radio
KUWZ-FM|269|KUWZ|http://media.npr.org/images/stations/logos/kuwz_fm.gif|Rock Springs|WY|Wyoming Public Radio
KVCR-FM|270|KVCR|http://media.npr.org/images/stations/logos/kvcr_fm.gif|San Bernardino|CA|Learn something new every day
KVLU-FM|271|KVLU|http://media.npr.org/images/stations/logos/kvlu_fm.gif|Beaumont|TX|Member Supported Public Radio
KVPR-FM|273|KVPR|http://media.npr.org/images/stations/logos/kvpr_fm.gif|Fresno|CA|NPR News and Cultural Arts for Central California
KPRX-FM|274|KPRX|http://media.npr.org/images/stations/logos/kprx_fm.gif|Bakersfield|CA|NPR News and Cultural Arts for Central California
KWBU-FM|275|KWBU|http://media.npr.org/images/stations/logos/kwbu_fm.gif|Waco|TX|Waco's NPR
KWGS-FM|276|KWGS|http://media.npr.org/images/stations/logos/kwgs_fm.gif|Tulsa|OK|Public Radio 89.5 from The University of Tulsa
KWIT-FM|277|KWIT|http://media.npr.org/images/stations/logos/kwit_fm.gif|Sioux City|IA|The Intelligent Alternative
KWMU-FM|278|KWMU|http://media.npr.org/images/stations/logos/kwmu_fm.gif|St. Louis|MO|Award-winning in-depth news, insightful discussion, and entertaining programs
KWSU-AM|279|KWSU|http://media.npr.org/images/stations/logos/kwsu_am.gif|Pullman|WA|Northwest Public Radio, Your NPR News Station
KLWS-FM|280|KLWS|http://media.npr.org/images/stations/logos/klws_fm.gif|Moses Lake|WA|Northwest Public Radio, Your NPR News Station
KQWS-FM|281|KQWS|http://media.npr.org/images/stations/logos/kqws_fm.gif|Omak|WA|Northwest Public Radio, Your NPR News Station
KWWS-FM|282|KWWS|http://media.npr.org/images/stations/logos/kwws_fm.gif|Walla Walla|WA|Northwest Public Radio, Your NPR News Station
KXCV-FM|283|KXCV|http://media.npr.org/images/stations/logos/kxcv_fm.gif|Maryville|MO|Public Radio from Northwest Missouri State University
KRNW-FM|284|KRNW|http://media.npr.org/images/stations/logos/krnw_fm.gif|Chillicothe|MO|Public Radio from Northwest Missouri State University
KXJZ-FM|286|KXJZ|http://media.npr.org/images/stations/logos/kxjz_fm.gif|Sacramento|CA|Your Choice for NPR News and Jazz
KKTO-FM|287|KKTO|http://media.npr.org/images/stations/logos/kkto_fm.gif|Tahoe City|CA|Your Choice for NPR News and Jazz
KXPR-FM|288|KXPR|http://media.npr.org/images/stations/logos/kxpr_fm.gif|Sacramento|CA|The Classical Station
KUOP-FM|289|KUOP|http://media.npr.org/images/stations/logos/kuop_fm.gif|Stockton|CA|Your Choice for NPR News and Jazz
KXSR-FM|290|KXSR|http://media.npr.org/images/stations/logos/kxsr_fm.gif|Groveland|CA|The Classical Station
KZYX-FM|292|KZYX|http://media.npr.org/images/stations/logos/kzyx_fm.gif|Philo|CA|Listener-Supported Community Radio for Mendocino County
KZYZ-FM|293|KZYZ|http://media.npr.org/images/stations/logos/kzyz_fm.gif|Willits|CA|Listener-Supported Community Radio
WABE-FM|295|WABE|http://media.npr.org/images/stations/logos/wabe_fm.gif|Atlanta|GA|The Classics & NPR News
WAER-FM|296|WAER|http://media.npr.org/images/stations/logos/waer_fm.gif|Syracuse|NY|Music, News & NPR from Central New York at 88.3, WAER
Northeast Public Radio|297|None|None|Albany|None|WAMC/Northeast Public Radio
WAMC-FM|298|WAMC|http://media.npr.org/images/stations/logos/wamc_fm.gif|Albany|NY|WAMC/Northeast Public Radio
WAMK-FM|299|WAMK|http://media.npr.org/images/stations/logos/wamk_fm.gif|Kingstown|NY|WAMC/Northeast Public Radio
WAMQ-FM|300|WAMQ|http://media.npr.org/images/stations/logos/wamq_fm.gif|Great Barrington|MA|WAMC/Northeast Public Radio
WANC-FM|301|WANC|http://media.npr.org/images/stations/logos/wanc_fm.gif|Ticonderoga|NY|WAMC/Northeast Public Radio
WCAN-FM|302|WCAN|http://media.npr.org/images/stations/logos/wcan_fm.gif|Canajoharie|NY|WAMC/Northeast Public Radio
WCEL-FM|303|WCEL|http://media.npr.org/images/stations/logos/wcel_fm.gif|Plattsburgh|NY|WAMC/Northeast Public Radio
WOSR-FM|304|WOSR|http://media.npr.org/images/stations/logos/wosr_fm.gif|Middletown|NY|WAMC/Northeast Public Radio
WAMU-FM|305|WAMU|http://media.npr.org/images/stations/logos/wamu_fm.gif|Washington|DC|The Mind Is Our Medium
WBAA-FM|306|WBAA|http://media.npr.org/images/stations/logos/wbaa_fm.gif|West Lafayette|IN|Listener Supported Public Radio from Purdue
WBAA-AM|307|WBAA|http://media.npr.org/images/stations/logos/wbaa_am.gif|West Lafayette|IN|Listener Supported Public Radio from Purdue
Chicago Public Radio|308|None|None|Chicago|None|Chicago Public Radio
WBEZ-FM|309|WBEZ|http://media.npr.org/images/stations/logos/wbez_fm.gif|Chicago|IL|None
WBFO-FM|310|WBFO|http://media.npr.org/images/stations/logos/wbfo_fm.gif|Buffalo|NY|NPR from the University at Buffalo
WOLN-FM|311|WOLN|http://media.npr.org/images/stations/logos/woln_fm.gif|Olean|NY|In Tune with Your Mind
WUBJ-FM|312|WUBJ|http://media.npr.org/images/stations/logos/wubj_fm.gif|Jamestown|NY|In Tune with Your Mind
Newark Public Radio|313|None|None|Newark|None|Newark Public Radio
WBGO-FM|314|WBGO|http://media.npr.org/images/stations/logos/wbgo_fm.gif|Newark|NJ|The Jazz Source - on air, online, on your mobile device
WBHM-FM|315|WBHM|http://media.npr.org/images/stations/logos/wbhm_fm.gif|Birmingham|AL|Your NPR News station
WBJB-FM|317|WBJB|http://media.npr.org/images/stations/logos/wbjb_fm.gif|Lincroft|NJ|90.5 The Night
WBLV-FM|318|WBLV|http://media.npr.org/images/stations/logos/wblv_fm.gif|Twin Lake|MI|Blue Lake Public Radio
WBLU-FM|319|WBLU|http://media.npr.org/images/stations/logos/wblu_fm.gif|Grand Rapids|MI|Blue Lake Public Radio
Northeast Indiana Public Radio|320|None|None|Fort Wayne|None|Northeast Indiana Public Radio
WBNI-FM|321|WBNI|http://media.npr.org/images/stations/logos/wbni_fm.gif|Roanoke|IN|Northeast Indiana Public Radio | 94.1 | Roanoke, Fort Wayne IN
WBOI-FM|322|WBOI|http://media.npr.org/images/stations/logos/wboi_fm.gif|Fort Wayne|IN|Northeast Indiana Public Radio | 89.1 | Fort Wayne, IN
Indiana Public Radio|323|None|None|Muncie|None|Indiana Public Radio, Your Local Source for Classical Music and NPR News
WBST-FM|324|WBST|http://media.npr.org/images/stations/logos/wbst_fm.gif|Muncie|IN|Indiana Public Radio, Your Local Source for Classical Music and NPR News
WBSB-FM|325|WBSB|http://media.npr.org/images/stations/logos/wbsb_fm.gif|Anderson|IN|Indiana Public Radio, Your Local Source for Classical Music and NPR News
WBSH-FM|326|WBSH|http://media.npr.org/images/stations/logos/wbsh_fm.gif|Hagerstown|IN|Indiana Public Radio, Your Local Source for Classical Music and NPR News
WBSJ-FM|327|WBSJ|http://media.npr.org/images/stations/logos/wbsj_fm.gif|Portland|IN|Indiana Public Radio, Your Local Source for Classical Music and NPR News
WBSW-FM|328|WBSW|http://media.npr.org/images/stations/logos/wbsw_fm.gif|Marion|IN|Indiana Public Radio, Your Local Source for Classical Music and NPR News
WBUR-FM|330|WBUR|http://media.npr.org/images/stations/logos/wbur_fm.gif|Boston|MA|Boston's NPR News Station
WBUR-AM|331|WBUR|http://media.npr.org/images/stations/logos/wbur_am.gif|West Yarmouth|MA|Boston's NPR News Source
WCCT-FM|332|WCCT|http://media.npr.org/images/stations/logos/wcct_fm.gif|Harwich|MA|NPR News for the Cape and Islands
WRNI-FM|333|WRNI|http://media.npr.org/images/stations/logos/wrni_fm.gif|Providence|RI|Rhode Island's NPR
WSDH-FM|334|WSDH|http://media.npr.org/images/stations/logos/wsdh_fm.gif|Sandwich|MA|NPR News for the Cape and Islands
WCBE-FM|338|WCBE|http://media.npr.org/images/stations/logos/wcbe_fm.gif|Columbus|OH|Central Ohio's NPR Station - Innovative, Provocative, Real
WCBU-FM|339|WCBU|http://media.npr.org/images/stations/logos/wcbu_fm.gif|Peoria|IL|Music and NPR News for central Illinois
WCMU-FM|342|WCMU|http://media.npr.org/images/stations/logos/wcmu_fm.gif|Mount Pleasant|MI|CMU Public Radio, Music & NPR News Stations for Central and Northern Michigan
WCMB-FM|343|WCMB|http://media.npr.org/images/stations/logos/wcmb_fm.gif|Oscoda|MI|CMU Public Radio, Music & NPR News
WCML-FM|344|WCML|http://media.npr.org/images/stations/logos/wcml_fm.gif|Alpena|MI|CMU Public Radio, Music & NPR News
WCMW-FM|345|WCMW|http://media.npr.org/images/stations/logos/wcmw_fm.gif|Harbor Springs|MI|CMU Public Radio, Music & NPR News
WCMZ-FM|346|WCMZ|http://media.npr.org/images/stations/logos/wcmz_fm.gif|Sault Ste. Marie|MI|CMU Public Radio, Music & NPR News
WUCX-FM|347|WUCX|http://media.npr.org/images/stations/logos/wucx_fm.gif|Bay City|MI|Quality Public Radio: Q-90.1 FM
WWCM-FM|348|WWCM|http://media.npr.org/images/stations/logos/wwcm_fm.gif|Standish|MI|CMU Public Radio, Music & NPR News
WCPN-FM|353|WCPN|http://media.npr.org/images/stations/logos/wcpn_fm.gif|Cleveland|OH|The All-Day Brain Food
WCQS-FM|354|WCQS|http://media.npr.org/images/stations/logos/wcqs_fm.gif|Asheville|NC|WCQS is listener-supported public radio for Western North Carolina
WFQS-FM|355|WFQS|http://media.npr.org/images/stations/logos/wfqs_fm.gif|Franklin|NC|National Public Radio for Western North Carolina - NPR News, Classical Music & More
WCVE-FM|356|WCVE|http://media.npr.org/images/stations/logos/wcve_fm.gif|Richmond|VA|A Community Idea Station
WDAV-FM|357|WDAV|http://media.npr.org/images/stations/logos/wdav_fm.gif|Davidson|NC|Classical Public Radio
WDET-FM|358|WDET|http://media.npr.org/images/stations/logos/wdet_fm.gif|Detroit|MI|Detroit Public Radio
WDIY-FM|359|WDIY|http://media.npr.org/images/stations/logos/wdiy_fm.gif|Allentown|PA|Lehigh Valley Community Public Radio
WESA-FM|360|WESA|http://media.npr.org/images/stations/logos/wesa_fm.gif|Pittsburgh|PA|Pittsburgh's only independent public radio news and information station.
WEAA-FM|361|WEAA|http://media.npr.org/images/stations/logos/weaa_fm.gif|Baltimore|MD|WEAA 88.9 FM The Voice Of The Community
WEKU-FM|362|WEKU|http://media.npr.org/images/stations/logos/weku_fm.gif|Richmond|KY|NPR News, Music and So Much More for Central and Southeast Kentucky
WEKH-FM|363|WEKH|http://media.npr.org/images/stations/logos/wekh_fm.gif|Hazard|KY|Great Music and NPR News from Eastern Kentucky University
WEMU-FM|364|WEMU|http://media.npr.org/images/stations/logos/wemu_fm.gif|Ypsilanti|MI|Listener supported public radio from Eastern Michigan University
WERN-FM|366|WERN|http://media.npr.org/images/stations/logos/wern_fm.gif|Madison|WI|News and Classical Network
WHND-FM|367|WHND|http://media.npr.org/images/stations/logos/whnd_fm.gif|Sister Bay|WI|News/Classical Network
WHRM-FM|368|WHRM|http://media.npr.org/images/stations/logos/whrm_fm.gif|Wausau|WI|News and Classical Network
WHSA-FM|369|WHSA|http://media.npr.org/images/stations/logos/whsa_fm.gif|Brule|WI|The NPR News and Classical Music Network
WPNE-FM|370|WPNE|http://media.npr.org/images/stations/logos/wpne_fm.gif|Green Bay|WI|The NPR News and Classical Music Network
WETA-FM|372|WETA|http://media.npr.org/images/stations/logos/weta_fm.gif|Washington|DC|Classical for Washington
WGMS-FM|373|WGMS|http://media.npr.org/images/stations/logos/wgms_fm.gif|Hagerstown|MD|Washington's Classical Music Station
WETS-FM|374|WETS|http://media.npr.org/images/stations/logos/wets_fm.gif|Johnson City|TN|Public Radio for East Tennessee, Southwest Virginia & Western North Carolina
New Hampshire Public Radio|375|None|None|Concord|None|New Hampshire Public Radio
WEVO-FM|376|WEVO|http://media.npr.org/images/stations/logos/wevo_fm.gif|Concord|NH|NHPR: News and Information for the Granite State
WEVC-FM|377|WEVC|http://media.npr.org/images/stations/logos/wevc_fm.gif|Gorham|NH|NHPR: News and Information for the Granite State
WEVH-FM|378|WEVH|http://media.npr.org/images/stations/logos/wevh_fm.gif|Hanover|NH|NHPR: News and Information for the Granite State
WEVN-FM|379|WEVN|http://media.npr.org/images/stations/logos/wevn_fm.gif|Keene|NH|NHPR: News and Information for the Granite State
WFAE-FM|380|WFAE|http://media.npr.org/images/stations/logos/wfae_fm.gif|Charlotte|NC|Charlotte's NPR News Source
WFHE-FM|381|WFHE|http://media.npr.org/images/stations/logos/wfhe_fm.gif|Hickory|NC|Your Source for NPR News in the Catawba Valley
WFCR-FM|382|WFCR|http://media.npr.org/images/stations/logos/wfcr_fm.gif|Amherst|MA|New England Public Radio
WFDD-FM|383|WFDD|http://media.npr.org/images/stations/logos/wfdd_fm.gif|Winston-Salem|NC|Your NPR News and Triad Arts Station from Wake Forest University
WFIT-FM|384|WFIT|http://media.npr.org/images/stations/logos/wfit_fm.gif|Melbourne|FL|Public Radio for The Florida Space Coast
WFIU-FM|385|WFIU|http://media.npr.org/images/stations/logos/wfiu_fm.gif|Bloomington|IN|Public Media from Indiana University
WFPK-FM|387|WFPK|http://media.npr.org/images/stations/logos/wfpk_fm.gif|Louisville|KY|91.9 Radio Louisville
WFPL-FM|388|WFPL|http://media.npr.org/images/stations/logos/wfpl_fm.gif|Louisville|KY|Louisville's NPR News Station
WFSU-FM|390|WFSU|http://media.npr.org/images/stations/logos/wfsu_fm.gif|Tallahassee|FL|Your News & Information Station
WFSQ-FM|391|WFSQ|http://media.npr.org/images/stations/logos/wfsq_fm.gif|Tallahassee|FL|Your Classical Music Source
WFSW-FM|392|WFSW|http://media.npr.org/images/stations/logos/wfsw_fm.gif|Panama City|FL|Your News & Information Station
WFUV-FM|393|WFUV|http://media.npr.org/images/stations/logos/wfuv_fm.gif|New York|NY|Public Radio from Fordham University in New York City
WFYI-FM|394|WFYI|http://media.npr.org/images/stations/logos/wfyi_fm.gif|Indianapolis|IN|For Your Information
WGBH-FM|396|WGBH|http://media.npr.org/images/stations/logos/wgbh_fm.gif|Boston|MA|Boston's NPR Station for News and Culture
WCAI-FM|397|WCAI|http://media.npr.org/images/stations/logos/wcai_fm.gif|Woods Hole|MA|The Cape and Islands NPR Stations
WNAN-FM|398|WNAN|http://media.npr.org/images/stations/logos/wnan_fm.gif|Nantucket|MA|The Cape and Islands NPR Stations
WGCU-FM|400|WGCU|http://media.npr.org/images/stations/logos/wgcu_fm.gif|Fort Myers|FL|NPR for Southwest Florida
WMKO-FM|401|WMKO|http://media.npr.org/images/stations/logos/wmko_fm.gif|Marco|FL|Southwest Florida Public Radio
WGLT-FM|402|WGLT|http://media.npr.org/images/stations/logos/wglt_fm.gif|Normal|IL|News Blues and All That Jazz
WGTE Public Broadcasting|403|None|None|Toledo|None|Classical Music and NPR News from FM 91
WGTE-FM|404|WGTE|http://media.npr.org/images/stations/logos/wgte_fm.gif|Toledo|OH|Classical Music and NPR News from FM 91 in Toledo
WGBE-FM|405|WGBE|http://media.npr.org/images/stations/logos/wgbe_fm.gif|Bryan|OH|Classical Music and NPR News from FM 91 in Bryan
WGDE-FM|406|WGDE|http://media.npr.org/images/stations/logos/wgde_fm.gif|Defiance|OH|Classical Music and NPR News from FM 91 in Defiance
WGLE-FM|407|WGLE|http://media.npr.org/images/stations/logos/wgle_fm.gif|Lima|OH|Classical Music and NPR News from FM 91 in Lima
WGUC-FM|408|WGUC|http://media.npr.org/images/stations/logos/wguc_fm.gif|Cincinnati|OH|Cincinnati's Classical Public Radio
WGVU-AM|410|WGVU|http://media.npr.org/images/stations/logos/wgvu_am.gif|Kentwood|MI|Public Broadcasting for West Michigan
WGVS-AM|411|WGVS|http://media.npr.org/images/stations/logos/wgvs_am.gif|Muskegon|MI|Public Broadcasting for West Michigan
WGVU-FM|412|WGVU|http://media.npr.org/images/stations/logos/wgvu_fm.gif|Allendale|MI|Public Broadcasting for West Michigan
WGVS-FM|413|WGVS|http://media.npr.org/images/stations/logos/wgvs_fm.gif|Whitehall|MI|Public Broadcasting for West Michigan
WHA-AM|414|WHA|http://media.npr.org/images/stations/logos/wha_am.gif|Madison|WI|The Ideas Network
KUWS-FM|415|KUWS|http://media.npr.org/images/stations/logos/kuws_fm.gif|Superior|WI|The Ideas Network
WHID-FM|416|WHID|http://media.npr.org/images/stations/logos/whid_fm.gif|Green Bay|WI|The Ideas Network
WRFW-FM|417|WRFW|http://media.npr.org/images/stations/logos/wrfw_fm.gif|River Falls|WI|The Ideas Network
WRST-FM|418|WRST|http://media.npr.org/images/stations/logos/wrst_fm.gif|Oshkosh|WI|The Ideas Network
WSHS-FM|419|WSHS|http://media.npr.org/images/stations/logos/wshs_fm.gif|Sheboygan|WI|The Ideas Network
WHAD-FM|420|WHAD|http://media.npr.org/images/stations/logos/whad_fm.gif|Delafield|WI|The Ideas Network
WHBM-FM|421|WHBM|http://media.npr.org/images/stations/logos/whbm_fm.gif|Park Falls|WI|The Ideas Network
WHDI-FM|422|WHDI|http://media.npr.org/images/stations/logos/whdi_fm.gif|Milwaukee|WI|The Ideas Network
WHHI-FM|423|WHHI|http://media.npr.org/images/stations/logos/whhi_fm.gif|Highland|WI|The Ideas Network
WHLA-FM|424|WHLA|http://media.npr.org/images/stations/logos/whla_fm.gif|La Crosse|WI|The Ideas Network
WHWC-FM|425|WHWC|http://media.npr.org/images/stations/logos/whwc_fm.gif|Menomonie|WI|The Ideas Network
WLBL-AM|426|WLBL|http://media.npr.org/images/stations/logos/wlbl_am.gif|Auburndale|WI|The Ideas Network
WLBL-FM|427|WLBL|http://media.npr.org/images/stations/logos/wlbl_fm.gif|Wausau|WI|The Ideas Network
WHQR-FM|429|WHQR|http://media.npr.org/images/stations/logos/whqr_fm.gif|Wilmington|NC|Radio with Vision...Listen and See
WHRV-FM|430|WHRV|http://media.npr.org/images/stations/logos/whrv_fm.gif|Norfolk|VA|National Public Radio for Hampton Roads
WHRO-FM|431|WHRO|http://media.npr.org/images/stations/logos/whro_fm.gif|Norfolk|VA|Virginia's Classic Sound
WHYY-FM|433|WHYY|http://media.npr.org/images/stations/logos/whyy_fm.gif|Philadelphia|PA|Public Media Serving Southeastern Pennsylvania, Delaware, South Jersey and the world
WICN-FM|439|WICN|http://media.npr.org/images/stations/logos/wicn_fm.gif|Worcester|MA|Jazz+ for New England
WILL-AM|440|WILL|http://media.npr.org/images/stations/logos/will_am.gif|Urbana|IL|The Information Advantage
WILL-FM|441|WILL|http://media.npr.org/images/stations/logos/will_fm.gif|Urbana|IL|Music and Performance
WITF-FM|442|WITF|http://media.npr.org/images/stations/logos/witf_fm.gif|Harrisburg|PA|Engaging minds, enriching lives, uniquely.
Tri States Public Radio|443|None|None|Macomb|None|Tri States Public Radio
WIUW-FM|445|WIUW|http://media.npr.org/images/stations/logos/wiuw_fm.gif|Warsaw|IL|Tri States Public Radio
WJAB-FM|446|WJAB|http://media.npr.org/images/stations/logos/wjab_fm.gif|Huntsville|AL|Hot Blues, Cool Jazz
WJCT-FM|447|WJCT|http://media.npr.org/images/stations/logos/wjct_fm.gif|Jacksonville|FL|Tune In.  Find out.
Georgia Public Broadcasting|448|None|None|Athens|None|Your source for great music and NPR news.
WJSP-FM|449|WJSP|http://media.npr.org/images/stations/logos/wjsp_fm.gif|Warm Springs|GA|Your source for NPR news and music.
WABR-FM|450|WABR|http://media.npr.org/images/stations/logos/wabr_fm.gif|Tifton|GA|Your source for great music and NPR news.
WACG-FM|451|WACG|http://media.npr.org/images/stations/logos/wacg_fm.gif|Augusta|GA|Your source for great music and NPR news.
WJWV-FM|453|WJWV|http://media.npr.org/images/stations/logos/wjwv_fm.gif|Fort Gaines|GA|Your source for great music and NPR news.
WNGU-FM|454|WNGU|http://media.npr.org/images/stations/logos/wngu_fm.gif|Dahlonega|GA|Your source for great music and NPR news.
WPPR-FM|455|WPPR|http://media.npr.org/images/stations/logos/wppr_fm.gif|Demorest|GA|Your source for great music and NPR news.
WWET-FM|457|WWET|http://media.npr.org/images/stations/logos/wwet_fm.gif|Valdosta|GA|Your source for great music and NPR news.
WUWG-FM|458|WUWG|http://media.npr.org/images/stations/logos/wuwg_fm.gif|Carrolton|GA|Your source for great music and NPR news.
WXVS-FM|459|WXVS|http://media.npr.org/images/stations/logos/wxvs_fm.gif|Waycross|GA|Your source for great music and NPR news.
WKAR-AM|462|WKAR|http://media.npr.org/images/stations/logos/wkar_am.gif|East Lansing|MI|News and Talk from Michigan State University in East Lansing
WKAR-FM|463|WKAR|http://media.npr.org/images/stations/logos/wkar_fm.gif|East Lansing|MI|NPR and Classical from Michigan State University in East Lansing
WKMS-FM|466|WKMS|http://media.npr.org/images/stations/logos/wkms_fm.gif|Murray|KY|Listener Supported Public Radio from Murray State. Serving the Four Rivers Region: Western Kentucky,1
WKNO-FM|467|WKNO|http://media.npr.org/images/stations/logos/wkno_fm.gif|Memphis|TN|NPR for the Mid-South
WKNP-FM|469|WKNP|http://media.npr.org/images/stations/logos/wknp_fm.gif|Jackson|TN|Public Broadcasting for the Mid-South
WKSU-FM|471|WKSU|http://media.npr.org/images/stations/logos/wksu_fm.gif|Kent|OH|NPR.  Classical.  Other Smart Stuff.
WKRJ-FM|472|WKRJ|http://media.npr.org/images/stations/logos/wkrj_fm.gif|New Philadelphia|OH|NPR and Classical Music for Northeast Ohio
WKRW-FM|473|WKRW|http://media.npr.org/images/stations/logos/wkrw_fm.gif|Wooster|OH|NPR and Classical Music for Northeast Ohio
WKYU-FM|476|WKYU|http://media.npr.org/images/stations/logos/wkyu_fm.gif|Bowling Green|KY|WKU Public Radio
WDCL-FM|477|WDCL|http://media.npr.org/images/stations/logos/wdcl_fm.gif|Somerset|KY|Western's Public Radio
WKPB-FM|478|WKPB|http://media.npr.org/images/stations/logos/wkpb_fm.gif|Henderson|KY|Western's Public Radio
WKUE-FM|479|WKUE|http://media.npr.org/images/stations/logos/wkue_fm.gif|Elizabethtown|KY|Western's Public Radio
WLRH-FM|480|WLRH|http://media.npr.org/images/stations/logos/wlrh_fm.gif|Huntsville|AL|Public Radio for the Tennessee Valley
WLRN-FM|482|WLRN|http://media.npr.org/images/stations/logos/wlrn_fm.gif|Miami|FL|NPR News & Intelligent Talk All Day, and the Best in Jazz Seven Nights a Week
WLSU-FM|483|WLSU|http://media.npr.org/images/stations/logos/wlsu_fm.gif|La Crosse|WI|WPR's News and Music Station
WUEC-FM|484|WUEC|http://media.npr.org/images/stations/logos/wuec_fm.gif|Eau Claire|WI|WPR's News/Classical Network
WVSS-FM|485|WVSS|http://media.npr.org/images/stations/logos/wvss_fm.gif|Menomonie|WI|WPR's News/Classical Network
WLTR-FM|487|WLTR|http://media.npr.org/images/stations/logos/wltr_fm.gif|Columbia|SC|Your Classical NPR News Station
WEPR-FM|488|WEPR|http://media.npr.org/images/stations/logos/wepr_fm.gif|Greenville|SC|Your Classical NPR News Station
WHMC-FM|489|WHMC|http://media.npr.org/images/stations/logos/whmc_fm.gif|Conway|SC|Your NPR News Station
WJWJ-FM|490|WJWJ|http://media.npr.org/images/stations/logos/wjwj_fm.gif|Beaufort|SC|Your NPR News Station
WLJK-FM|491|WLJK|http://media.npr.org/images/stations/logos/wljk_fm.gif|Aiken|SC|Your NPR News Station
WNSC-FM|492|WNSC|http://media.npr.org/images/stations/logos/wnsc_fm.gif|Rock Hill|SC|Your NPR News Station
WRJA-FM|493|WRJA|http://media.npr.org/images/stations/logos/wrja_fm.gif|Sumter|SC|Your NPR News Station
WSCI-FM|494|WSCI|http://media.npr.org/images/stations/logos/wsci_fm.gif|Charleston|SC|Your Classical NPR News Station
